phi_i theta_i phi_o theta_o brdf
5.0 -180.0 -86.0 0.0 0.03439
5.0 -180.0 -84.0 0.0 0.03156
5.0 -180.0 -82.0 0.0 0.06307
5.0 -180.0 -80.0 0.0 0.06806
5.0 -180.0 -78.0 0.0 0.07035
5.0 -180.0 -76.0 0.0 0.06434
5.0 -180.0 -74.0 0.0 0.07593
5.0 -180.0 -72.0 0.0 0.08138
5.0 -180.0 -70.0 0.0 0.0826
5.0 -180.0 -68.0 0.0 0.09153
5.0 -180.0 -66.0 0.0 0.07358
5.0 -180.0 -64.0 0.0 0.0835
5.0 -180.0 -62.0 0.0 0.08677
5.0 -180.0 -60.0 0.0 0.07922
5.0 -180.0 -58.0 0.0 0.08991
5.0 -180.0 -56.0 0.0 0.08828
5.0 -180.0 -54.0 0.0 0.1026
5.0 -180.0 -52.0 0.0 0.1034
5.0 -180.0 -50.0 0.0 0.1054
5.0 -180.0 -48.0 0.0 0.1174
5.0 -180.0 -46.0 0.0 0.1188
5.0 -180.0 -44.0 0.0 0.1271
5.0 -180.0 -42.0 0.0 0.155
5.0 -180.0 -40.0 0.0 0.1717
5.0 -180.0 -38.0 0.0 0.1755
5.0 -180.0 -36.0 0.0 0.2154
5.0 -180.0 -34.0 0.0 0.2405
5.0 -180.0 -32.0 0.0 0.2881
5.0 -180.0 -30.0 0.0 0.2778
5.0 -180.0 -28.0 0.0 0.2657
5.0 -180.0 -26.0 0.0 0.4308
5.0 -180.0 -24.0 0.0 0.4341
5.0 -180.0 -22.0 0.0 0.5056
5.0 -180.0 -20.0 0.0 0.6633
5.0 -180.0 -18.0 0.0 0.7552
5.0 -180.0 -16.0 0.0 1.025
5.0 -180.0 -14.0 0.0 1.195
5.0 -180.0 -12.0 0.0 1.338
5.0 -180.0 -10.0 0.0 1.898
5.0 -180.0 0.0 0.0 17.33
5.0 -180.0 2.0 0.0 94.88
5.0 -180.0 2.5 0.0 107.2
5.0 -180.0 3.0 0.0 242.4
5.0 -180.0 3.5 0.0 453.6
5.0 -180.0 4.0 0.0 276.5
5.0 -180.0 4.2 0.0 513.2
5.0 -180.0 4.4 0.0 283.8
5.0 -180.0 4.6 0.0 496.7
5.0 -180.0 4.8 0.0 426.5
5.0 -180.0 5.0 0.0 500.6
5.0 -180.0 5.2 0.0 313.5
5.0 -180.0 5.4 0.0 194.1
5.0 -180.0 5.6 0.0 325.4
5.0 -180.0 5.8 0.0 99.34
5.0 -180.0 6.0 0.0 116.4
5.0 -180.0 6.2 0.0 344.3
5.0 -180.0 6.7 0.0 161.5
5.0 -180.0 7.2 0.0 139.9
5.0 -180.0 7.7 0.0 128.3
5.0 -180.0 8.2 0.0 32.24
5.0 -180.0 10.2 0.0 8.244
5.0 -180.0 14.2 0.0 1.357
5.0 -180.0 16.2 0.0 3.057
5.0 -180.0 18.2 0.0 2.224
5.0 -180.0 20.2 0.0 1.567
5.0 -180.0 22.2 0.0 1.144
5.0 -180.0 24.2 0.0 0.8465
5.0 -180.0 26.2 0.0 0.7274
5.0 -180.0 28.2 0.0 0.5909
5.0 -180.0 30.2 0.0 0.4217
5.0 -180.0 32.2 0.0 0.3394
5.0 -180.0 34.2 0.0 0.3303
5.0 -180.0 36.2 0.0 0.2844
5.0 -180.0 38.2 0.0 0.2471
5.0 -180.0 40.2 0.0 0.2107
5.0 -180.0 42.2 0.0 0.1954
5.0 -180.0 44.2 0.0 0.1956
5.0 -180.0 46.2 0.0 0.1952
5.0 -180.0 48.2 0.0 0.152
5.0 -180.0 50.2 0.0 0.1437
5.0 -180.0 52.2 0.0 0.1263
5.0 -180.0 54.2 0.0 0.1428
5.0 -180.0 56.2 0.0 0.1233
5.0 -180.0 58.2 0.0 0.1
5.0 -180.0 60.2 0.0 0.1146
5.0 -180.0 62.2 0.0 0.08628
5.0 -180.0 64.2 0.0 0.08977
5.0 -180.0 66.2 0.0 0.08547
5.0 -180.0 68.2 0.0 0.1002
5.0 -180.0 70.2 0.0 0.07711
5.0 -180.0 72.2 0.0 0.07846
5.0 -180.0 74.2 0.0 0.07125
5.0 -180.0 76.2 0.0 0.0676
5.0 -180.0 78.2 0.0 0.06462
5.0 -180.0 80.2 0.0 0.06105
5.0 -180.0 82.2 0.0 0.06896
5.0 -180.0 84.2 0.0 0.05957
5.0 -180.0 86.2 0.0 0.02884
41.4 -180.0 -88.0 0.0 0.001961
41.4 -180.0 -87.0 0.0 0.002644
41.4 -180.0 -86.0 0.0 0.003339
41.4 -180.0 -85.0 0.0 0.003764
41.4 -180.0 -84.0 0.0 0.004534
41.4 -180.0 -83.0 0.0 0.005266
41.4 -180.0 -82.0 0.0 0.00532
41.4 -180.0 -81.0 0.0 0.005751
41.4 -180.0 -80.0 0.0 0.006068
41.4 -180.0 -79.0 0.0 0.006291
41.4 -180.0 -78.0 0.0 0.006693
41.4 -180.0 -77.0 0.0 0.006393
41.4 -180.0 -76.0 0.0 0.006503
41.4 -180.0 -75.0 0.0 0.006228
41.4 -180.0 -74.0 0.0 0.006398
41.4 -180.0 -73.0 0.0 0.006318
41.4 -180.0 -72.0 0.0 0.006674
41.4 -180.0 -71.0 0.0 0.006869
41.4 -180.0 -70.0 0.0 0.006759
41.4 -180.0 -69.0 0.0 0.006954
41.4 -180.0 -68.0 0.0 0.006745
41.4 -180.0 -67.0 0.0 0.007079
41.4 -180.0 -66.0 0.0 0.006743
41.4 -180.0 -65.0 0.0 0.006973
41.4 -180.0 -64.0 0.0 0.007115
41.4 -180.0 -63.0 0.0 0.007063
41.4 -180.0 -62.0 0.0 0.006995
41.4 -180.0 -61.0 0.0 0.007053
41.4 -180.0 -60.0 0.0 0.007167
41.4 -180.0 -59.0 0.0 0.007129
41.4 -180.0 -58.0 0.0 0.007115
41.4 -180.0 -57.0 0.0 0.007443
41.4 -180.0 -56.0 0.0 0.007419
41.4 -180.0 -55.0 0.0 0.007532
41.4 -180.0 -54.0 0.0 0.007584
41.4 -180.0 -53.0 0.0 0.007671
41.4 -180.0 -52.0 0.0 0.007858
41.4 -180.0 -51.0 0.0 0.007517
41.4 -180.0 -50.0 0.0 0.007623
41.4 -180.0 -49.0 0.0 0.007469
41.4 -180.0 -34.0 0.0 0.009552
41.4 -180.0 -33.0 0.0 0.00966
41.4 -180.0 -32.0 0.0 0.009655
41.4 -180.0 -31.0 0.0 0.009899
41.4 -180.0 -30.0 0.0 0.01033
41.4 -180.0 -29.0 0.0 0.01071
41.4 -180.0 -28.0 0.0 0.01075
41.4 -180.0 -27.0 0.0 0.01061
41.4 -180.0 -26.0 0.0 0.0109
41.4 -180.0 -25.0 0.0 0.01108
41.4 -180.0 -24.0 0.0 0.0112
41.4 -180.0 -23.0 0.0 0.01182
41.4 -180.0 -22.0 0.0 0.01186
41.4 -180.0 -21.0 0.0 0.0125
41.4 -180.0 -20.0 0.0 0.01279
41.4 -180.0 -19.0 0.0 0.01328
41.4 -180.0 -18.0 0.0 0.01345
41.4 -180.0 -17.0 0.0 0.01453
41.4 -180.0 -16.0 0.0 0.01463
41.4 -180.0 -15.0 0.0 0.0154
41.4 -180.0 -14.0 0.0 0.01561
41.4 -180.0 -13.0 0.0 0.01582
41.4 -180.0 -12.0 0.0 0.01676
41.4 -180.0 -11.0 0.0 0.01733
41.4 -180.0 -10.0 0.0 0.01871
41.4 -180.0 -9.0 0.0 0.01895
41.4 -180.0 -8.0 0.0 0.01278
41.4 -180.0 -3.0 0.0 0.01919
41.4 -180.0 -2.0 0.0 0.02506
41.4 -180.0 -1.0 0.0 0.02599
41.4 -180.0 0.0 0.0 0.02691
41.4 -180.0 1.0 0.0 0.02795
41.4 -180.0 2.0 0.0 0.02956
41.4 -180.0 3.0 0.0 0.0308
41.4 -180.0 4.0 0.0 0.03331
41.4 -180.0 5.0 0.0 0.03604
41.4 -180.0 6.0 0.0 0.0361
41.4 -180.0 7.0 0.0 0.0392
41.4 -180.0 8.0 0.0 0.04153
41.4 -180.0 9.0 0.0 0.04431
41.4 -180.0 10.0 0.0 0.04844
41.4 -180.0 11.0 0.0 0.05201
41.4 -180.0 12.0 0.0 0.0551
41.4 -180.0 13.0 0.0 0.05664
41.4 -180.0 14.0 0.0 0.06269
41.4 -180.0 15.0 0.0 0.06798
41.4 -180.0 16.0 0.0 0.0756
41.4 -180.0 17.0 0.0 0.08245
41.4 -180.0 18.0 0.0 0.09143
41.4 -180.0 19.0 0.0 0.101
41.4 -180.0 20.0 0.0 0.1152
41.4 -180.0 21.0 0.0 0.133
41.4 -180.0 22.0 0.0 0.1449
41.4 -180.0 23.0 0.0 0.1739
41.4 -180.0 24.0 0.0 0.2039
41.4 -180.0 25.0 0.0 0.2366
41.4 -180.0 26.0 0.0 0.2813
41.4 -180.0 27.0 0.0 0.3777
41.4 -180.0 28.0 0.0 0.422
41.4 -180.0 29.0 0.0 0.6234
41.4 -180.0 30.0 0.0 0.8406
41.4 -180.0 31.0 0.0 1.356
41.4 -180.0 32.0 0.0 2.557
41.4 -180.0 33.0 0.0 4.013
41.4 -180.0 34.0 0.0 5.419
41.4 -180.0 35.0 0.0 8.181
41.4 -180.0 36.0 0.0 12.4
41.4 -180.0 37.0 0.0 24.14
41.4 -180.0 38.0 0.0 31.13
41.4 -180.0 39.0 0.0 160.1
41.4 -180.0 39.5 0.0 301.6
